date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:16:09	20390/20390	---M--	200	added ('OK')	image/jpeg	etag:8bb823bf536834f8464394701e0f1226879bb263	https://d33wubrfki0l68.cloudfront.net/8b1e4c8be18e1f36b8c8d6d3c0ad37f1500af881/e741d/assets/images/google-map.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/8b1e4c8be18e1f36b8c8d6d3c0ad37f1500af881/e741d/assets/images/google-map.jpg	(from https://ux.emprise.tours/product-form)
13:16:10	78433/78433	---M--	200	added ('OK')	image/jpeg	etag:0374ccbfbb5d1f8cf75a33681c1c0b0d6289cb44	https://d33wubrfki0l68.cloudfront.net/da6bca021bb44db3467238ea85010282c57d6fef/21177/assets/images/blog-image--main.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/da6bca021bb44db3467238ea85010282c57d6fef/21177/assets/images/blog-image--main.jpg	(from https://ux.emprise.tours/single)
13:16:11	61842/61842	---M--	200	added ('OK')	image/jpeg	etag:33b1c84f92288c7e013c9a649e16d6c32f76c4c2	https://d33wubrfki0l68.cloudfront.net/c8a99ca70cb07f31da8a4e743d75d198425c5b86/e859c/assets/images/blog-single-02.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/c8a99ca70cb07f31da8a4e743d75d198425c5b86/e859c/assets/images/blog-single-02.jpg	(from https://ux.emprise.tours/single)
13:16:12	21082/21082	---M--	200	added ('OK')	image/jpeg	etag:e8819d33ca2f4b253011d673a4c0cd60ce162b74	https://d33wubrfki0l68.cloudfront.net/3abe9e0a7e2af8b1d2c59b61edddeb2486454422/10bb5/assets/images/rlr-newsletter-01.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/3abe9e0a7e2af8b1d2c59b61edddeb2486454422/10bb5/assets/images/rlr-newsletter-01.jpg	(from https://ux.emprise.tours/single)
13:16:13	12150/12150	---M--	200	added ('OK')	image/jpeg	etag:69da469127223cfcc5f09bd7df627bcb23872f83	https://d33wubrfki0l68.cloudfront.net/4cbbdb21199d7bdf7f9d4a870b3e17aa06fedce5/aa32c/assets/images/rlr-newsletter-02.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/4cbbdb21199d7bdf7f9d4a870b3e17aa06fedce5/aa32c/assets/images/rlr-newsletter-02.jpg	(from https://ux.emprise.tours/single)
13:16:14	18966/18966	---M--	200	added ('OK')	image/jpeg	etag:10967480cb6d8d8bf4d1d2085c09368433aad817	https://d33wubrfki0l68.cloudfront.net/72d923c6ef1da00521fe28da40303bd895aee758/68f1c/assets/images/rlr-newsletter-03.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/72d923c6ef1da00521fe28da40303bd895aee758/68f1c/assets/images/rlr-newsletter-03.jpg	(from https://ux.emprise.tours/single)
13:16:15	21119/21119	---M--	200	added ('OK')	image/jpeg	etag:7003a32a233c003917f7d128576b984f45248fdb	https://d33wubrfki0l68.cloudfront.net/54c8369e2a45d05ccb7f1847af0ebfddb2024f4b/ff54c/assets/images/blog/blog-listing01.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/54c8369e2a45d05ccb7f1847af0ebfddb2024f4b/ff54c/assets/images/blog/blog-listing01.jpg	(from https://ux.emprise.tours/blog-listings--no-sidebar)
13:16:16	19391/19391	---M--	200	added ('OK')	image/jpeg	etag:6f0e7295818ba155b75596ba74e6617439f96c0c	https://d33wubrfki0l68.cloudfront.net/e507c79fcf92668272975084def4819c24e0556f/f7aa4/assets/images/blog/blog-listing02.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/e507c79fcf92668272975084def4819c24e0556f/f7aa4/assets/images/blog/blog-listing02.jpg	(from https://ux.emprise.tours/blog-listings--no-sidebar)
13:16:18	15890/15890	---M--	200	added ('OK')	image/jpeg	etag:bea2478faf94eb21aab310359e0050fac7de4e4a	https://d33wubrfki0l68.cloudfront.net/a6988581ecad67a482a1f42150238cec6f2f04af/bdf64/assets/images/blog/blog-listing03.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/a6988581ecad67a482a1f42150238cec6f2f04af/bdf64/assets/images/blog/blog-listing03.jpg	(from https://ux.emprise.tours/blog-listings--no-sidebar)
13:16:19	14494/14494	---M--	200	added ('OK')	image/jpeg	etag:d673d41cb8d5a2d0d5454ce8c8ecc1636d2b7e58	https://d33wubrfki0l68.cloudfront.net/bf2da761286bf8a4ae070ce9d304fec36394d839/60ff5/assets/images/blog/blog-listing04.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/bf2da761286bf8a4ae070ce9d304fec36394d839/60ff5/assets/images/blog/blog-listing04.jpg	(from https://ux.emprise.tours/blog-listings--no-sidebar)
13:16:21	23338/23338	---M--	200	added ('OK')	image/jpeg	etag:dd064cf62958e9c88009279f673dea5573ba7ce1	https://d33wubrfki0l68.cloudfront.net/f9bcfe5e60d8b508dfdd697a653bb0b12b2c92d0/595f6/assets/images/blog/blog-listing05.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/f9bcfe5e60d8b508dfdd697a653bb0b12b2c92d0/595f6/assets/images/blog/blog-listing05.jpg	(from https://ux.emprise.tours/blog-listings--no-sidebar)
13:16:22	22989/22989	---M--	200	added ('OK')	image/jpeg	etag:b0561f728bafb5f58596c68376d84e87ce22e58d	https://d33wubrfki0l68.cloudfront.net/7b7973bc1b6bdc60649ea2ec112c51499bd7d250/37466/assets/images/blog/blog-listing06.jpg	/storage/emulated/0/HTTrack/Websites/emprise/d33wubrfki0l68.cloudfront.net/7b7973bc1b6bdc60649ea2ec112c51499bd7d250/37466/assets/images/blog/blog-listing06.jpg	(from https://ux.emprise.tours/blog-listings--no-sidebar)
